Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Richaun Holmes,PHI,Richaun Holmes PHI,C,24,48,2,746,6.5,11.6,0.56,0.2,1.5,0.129,6.3,10.1,0.624,1.8,2.7,0.661,2.8,7.4,10.2,2.9,1,1.4,1.2,4.7,15
Ricky Rubio,UTA,Ricky Rubio UTA,PG,27,77,77,2254,5.5,13.2,0.418,1.5,4.4,0.352,4,8.8,0.451,3.5,4.1,0.866,0.7,4.9,5.6,6.5,1.9,0.2,3.3,3.3,16.1
Robert Covington,PHI,Robert Covington PHI,SF,27,80,80,2532,4.9,11.9,0.413,2.9,7.8,0.369,2,4.1,0.497,1.6,1.9,0.853,0.8,5.4,6.2,2.2,1.9,1,1.8,3.4,14.3
Robin Lopez,CHI,Robin Lopez CHI,C,29,64,64,1690,7.3,13.7,0.53,0.1,0.3,0.286,7.2,13.4,0.536,1.4,1.9,0.756,2.9,3.3,6.2,2.6,0.3,1.1,2.3,2.3,16.1
Rodney Hood,CLE,Rodney Hood TOT,SG,25,60,23,1616,7.2,16.7,0.429,2.8,7.4,0.381,4.3,9.3,0.467,2.5,2.9,0.86,0.5,3.2,3.7,2.1,1,0.3,1.6,2.3,19.6
Rodney McGruder,MIA,Rodney McGruder MIA,SG,26,18,2,299,4.3,8.8,0.493,1.8,4.2,0.429,2.5,4.6,0.553,0.5,1,0.5,1.3,2.5,3.9,2,1,0.4,0.5,2.5,11
Rodney Purvis,ORL,Rodney Purvis ORL,SG,23,16,2,290,4.3,13.3,0.327,1.6,6.5,0.25,2.7,6.8,0.4,1.6,1.9,0.867,0.1,3.2,3.4,2.1,0.4,0.4,1.2,3.2,11.9
Ron Baker,NYK,Ron Baker NYK,SG,24,29,1,385,1.9,5.5,0.339,1,3.1,0.333,0.8,2.4,0.346,1.9,2.4,0.769,0.5,2.3,2.8,4.4,2.4,0.6,1.7,3.1,6.6
Rondae Hollis-Jefferson,BRK,Rondae Hollis-Jefferson BRK,SF,23,68,59,1920,6.4,13.6,0.472,0.2,1,0.241,6.2,12.6,0.491,4.7,5.9,0.788,1.9,6.7,8.6,3.1,1.2,0.9,2.3,2.7,17.7
Royce O'Neale,UTA,Royce O'Neale UTA,SF,24,69,4,1150,3.8,8.9,0.423,1.3,3.7,0.356,2.4,5.2,0.47,1.9,2.4,0.803,0.8,6.6,7.4,3,1.1,0.5,1.7,3.3,10.7
Rudy Gay,SAS,Rudy Gay SAS,PF,31,57,6,1231,7.4,15.7,0.471,1.1,3.5,0.314,6.3,12.3,0.516,3.3,4.2,0.772,2.2,6.3,8.5,2.1,1.3,1.1,2.3,2.9,19.2
Rudy Gobert,UTA,Rudy Gobert UTA,C,25,56,56,1816,5.5,8.8,0.622,0,0,,5.5,8.8,0.622,4,5.9,0.682,3.3,8.6,11.9,1.6,0.9,2.6,2.1,3,15
Russell Westbrook,OKC,Russell Westbrook OKC,PG,29,80,80,2914,9.4,20.8,0.449,1.2,4,0.298,8.2,16.8,0.485,5.2,7,0.737,1.9,8.1,9.9,10.1,1.8,0.2,4.7,2.5,25.1
Ryan Anderson,HOU,Ryan Anderson HOU,PF,29,66,50,1725,4.3,10,0.431,2.7,7.1,0.386,1.6,2.9,0.539,1.5,1.9,0.774,2,4.9,6.9,1.3,0.5,0.4,0.9,2.6,12.9
Ryan Arcidiacono,CHI,Ryan Arcidiacono CHI,PG,23,24,0,304,2,4.9,0.415,1.1,3.7,0.29,0.9,1.2,0.8,0.6,0.7,0.833,0.1,2.8,3,4.1,1.5,0,1.5,2.1,5.7
Salah Mejri,DAL,Salah Mejri DAL,C,31,61,1,729,4.3,6.8,0.642,0,0.1,0,4.3,6.6,0.657,1.9,3.3,0.576,4.2,8,12.1,1.7,1.1,3.3,1.9,6,10.6
Sam Dekker,LAC,Sam Dekker LAC,PF,23,73,1,883,5.2,10.6,0.494,0.4,2.4,0.167,4.8,8.1,0.593,1.5,2.3,0.661,1.8,5.3,7.1,1.5,1,0.4,1.3,2.9,12.4
Scotty Hopson,DAL,Scotty Hopson DAL,SG,28,1,0,8,0,4.5,0,0,0,,0,4.5,0,4.5,9,0.5,0,0,0,4.5,0,0,4.5,0,4.5
Sean Kilpatrick,CHI,Sean Kilpatrick TOT,SG,28,52,1,640,6.2,16.5,0.374,2.6,8.1,0.319,3.6,8.4,0.427,3.6,4.1,0.889,0.3,4.6,4.9,2.6,0.7,0.3,2.1,1.9,18.6
Semi Ojeleye,BOS,Semi Ojeleye BOS,PF,23,73,0,1150,2,5.9,0.346,1.3,3.9,0.32,0.8,2,0.397,0.8,1.3,0.61,1.2,3.9,5,0.6,0.7,0.1,0.8,2.8,6.1
Serge Ibaka,TOR,Serge Ibaka TOR,PF,28,76,76,2093,6.5,13.5,0.483,1.8,5.1,0.36,4.7,8.4,0.559,1.6,2,0.797,1.3,6.9,8.2,1.1,0.5,1.7,1.5,3.6,16.5
Shabazz Muhammad,MIL,Shabazz Muhammad TOT,SF-SG,25,43,2,418,7.2,16.2,0.447,0.6,2.3,0.259,6.6,13.9,0.478,3.4,4.3,0.78,2,4.6,6.5,1.2,0.8,0.3,0.5,2.6,18.4
Shabazz Napier,POR,Shabazz Napier POR,PG,26,74,10,1535,5.2,12.5,0.42,1.9,5.1,0.376,3.3,7.3,0.45,2.7,3.2,0.841,0.6,3.4,4,3.5,1.9,0.3,2.1,2,15.1
Shane Larkin,BOS,Shane Larkin BOS,PG,25,54,2,775,3.9,10.2,0.384,1.4,4,0.36,2.5,6.2,0.398,1.5,1.7,0.865,0.7,3.6,4.3,4.6,1.3,0.1,1.5,2.7,10.7
Shaquille Harrison,PHO,Shaquille Harrison PHO,PG,24,23,2,384,5.5,11.6,0.476,0.6,2.4,0.231,5,9.2,0.541,2.6,3.6,0.737,0.8,4.9,5.7,5.2,2.4,0.7,2.1,3.9,14.2
Shaun Livingston,GSW,Shaun Livingston GSW,PG,32,71,7,1129,5.5,10.9,0.501,0,0.2,0,5.5,10.8,0.509,1.6,1.9,0.82,1,3.2,4.2,4.5,1.1,0.7,1.8,3.7,12.6
Shelvin Mack,ORL,Shelvin Mack ORL,PG,27,69,3,1365,4.7,10.9,0.43,1.3,3.7,0.345,3.4,7.3,0.473,1.8,2.6,0.711,0.6,3.8,4.4,7.2,1.4,0.2,2.3,2.4,12.5
Sindarius Thornwell,LAC,Sindarius Thornwell LAC,SG,23,73,17,1156,3.1,7.3,0.429,0.7,1.9,0.377,2.4,5.4,0.448,1.8,2.7,0.67,1,3.3,4.4,2.1,1.5,0.8,1.7,3.9,8.8
Skal Labissiere,SAC,Skal Labissiere SAC,PF,21,60,28,1240,6,13.3,0.448,0.5,1.5,0.353,5.4,11.8,0.459,2.8,3.4,0.805,2.9,5.5,8.4,2.1,0.7,1.4,2.1,3.8,15.2
Solomon Hill,NOP,Solomon Hill NOP,SF,26,12,1,187,2.1,7.9,0.268,0.8,4,0.19,1.3,3.9,0.35,0.6,1.2,0.5,1.7,5.2,6.9,4.2,1.3,0.2,1.7,4.2,5.6
Spencer Dinwiddie,BRK,Spencer Dinwiddie BRK,PG,24,80,58,2306,5.1,13.1,0.387,2.2,6.8,0.326,2.9,6.3,0.452,3.4,4.2,0.813,0.6,3.4,4,8.2,1.1,0.4,2,2.9,15.7
Stanley Johnson,DET,Stanley Johnson DET,SF,21,69,50,1894,4,10.6,0.375,1.3,4.4,0.286,2.7,6.2,0.439,2.1,2.8,0.772,0.6,4.2,4.8,2.1,1.8,0.3,1.5,3.2,11.4
Stephen Curry,GSW,Stephen Curry GSW,PG,29,51,51,1631,9.4,19.1,0.495,4.7,11.1,0.423,4.8,8,0.595,6.1,6.7,0.921,0.8,5,5.8,6.8,1.8,0.2,3.4,2.5,29.7
Sterling Brown,MIL,Sterling Brown MIL,SG,22,54,4,776,3.8,9.5,0.4,1.5,4.2,0.352,2.3,5.3,0.439,1,1.1,0.875,1.3,5.4,6.6,1.2,1.4,0.6,1.2,3.7,10.1
Steven Adams,OKC,Steven Adams OKC,C,24,76,76,2487,6.5,10.3,0.629,0,0,0,6.5,10.3,0.631,2.3,4.1,0.559,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3
T.J. Leaf,IND,T.J. Leaf IND,PF,20,53,0,459,5,10.7,0.471,1.4,3.3,0.429,3.6,7.4,0.489,0.8,1.3,0.625,2.3,4.2,6.4,0.7,0.4,0.3,0.8,3.5,12.2
T.J. McConnell,PHI,T.J. McConnell PHI,PG,25,76,1,1706,4.4,8.9,0.499,0.6,1.3,0.435,3.9,7.6,0.51,0.7,0.8,0.795,0.8,4,4.8,6.4,1.9,0.3,2.4,2.6,10.1
T.J. Warren,PHO,T.J. Warren PHO,SF,24,65,65,2142,8.9,17.9,0.498,0.3,1.5,0.222,8.6,16.4,0.523,3.2,4.3,0.757,2.1,3.5,5.6,1.4,1.1,0.7,1.4,2.5,21.4
Taj Gibson,MIN,Taj Gibson MIN,PF,32,82,82,2726,5.6,9.7,0.577,0.1,0.5,0.2,5.5,9.3,0.595,1.9,2.4,0.768,2.6,5.2,7.7,1.3,0.8,0.8,1.2,2.9,13.2
Tarik Black,HOU,Tarik Black HOU,C,26,51,2,536,5,8.5,0.591,0.1,0.7,0.091,5,7.8,0.638,1.9,4.2,0.46,4.2,6.7,10.9,0.9,1.4,2,2.4,7.2,12.1
Taurean Waller-Prince,ATL,Taurean Waller-Prince ATL,SF,23,82,82,2464,6.1,14.2,0.426,2.6,6.7,0.385,3.5,7.6,0.461,2.2,2.6,0.844,0.7,5,5.7,3.1,1.2,0.6,2.8,2.5,16.9
Terrance Ferguson,OKC,Terrance Ferguson OKC,SG,19,61,12,763,3.3,8,0.414,1.9,5.7,0.333,1.4,2.3,0.612,0.4,0.5,0.9,0.9,1.3,2.2,0.9,1.1,0.5,0.5,3.9,8.9
Terrence Ross,ORL,Terrence Ross ORL,SG,26,24,20,600,4.6,11.5,0.398,1.8,5.6,0.323,2.8,5.9,0.469,1.6,2.2,0.75,0.6,3.8,4.4,2.3,1.6,0.7,1.7,2.7,12.5
Terry Rozier,BOS,Terry Rozier BOS,PG,23,80,16,2068,5.5,13.9,0.395,2.7,7,0.381,2.8,6.9,0.41,2,2.6,0.772,1.1,5.4,6.5,4,1.4,0.3,1.4,2.1,15.7
Thabo Sefolosha,UTA,Thabo Sefolosha UTA,SF,33,38,6,806,5.3,10.7,0.492,1.4,3.8,0.381,3.8,7,0.551,2,2.4,0.815,1.3,5.9,7.2,1.5,2.3,0.5,1.3,2.6,13.9
Thaddeus Young,IND,Thaddeus Young IND,PF,29,81,81,2607,5.8,11.9,0.487,0.8,2.5,0.32,5,9.4,0.531,0.8,1.3,0.598,2.5,4.5,7.1,2.1,1.9,0.5,1.4,2.4,13.2
Thomas Bryant,LAL,Thomas Bryant LAL,C,20,15,0,72,4,10.5,0.381,0.5,5,0.1,3.5,5.5,0.636,2.5,4.5,0.556,1.5,7,8.5,3,0.5,1,1,3,11
Thon Maker,MIL,Thon Maker MIL,C,20,74,12,1238,3.8,9.2,0.411,0.9,3,0.298,2.9,6.2,0.467,1.9,2.7,0.699,2.2,4.4,6.5,1.3,1.1,1.5,1.3,4.7,10.4
Tim Frazier,WAS,Tim Frazier WAS,PG,27,59,11,838,2.9,7.4,0.395,0.7,2.4,0.304,2.2,5,0.44,1,1.3,0.767,0.8,4.2,4.9,8.3,2,0.3,2.4,4.2,7.6
Tim Hardaway,NYK,Tim Hardaway NYK,SG,25,57,54,1885,6.9,16.3,0.421,2.5,7.8,0.317,4.4,8.5,0.516,2.8,3.4,0.816,0.6,3.7,4.3,3,1.2,0.2,1.8,2.3,19
Tim Quarterman,HOU,Tim Quarterman HOU,SG,23,3,0,13,2.8,8.3,0.333,0,5.5,0,2.8,2.8,1,5.5,5.5,1,0,8.3,8.3,2.8,0,0,5.5,2.8,11.1
Timofey Mozgov,BRK,Timofey Mozgov BRK,C,31,31,13,359,5.2,9.3,0.559,0.4,1.8,0.222,4.8,7.5,0.64,2.3,3,0.767,3.2,6.6,9.8,1.1,0.5,1.3,3.3,3.9,13.1
Timothe Luwawu-Cabarrot,PHI,Timothe Luwawu-Cabarrot PHI,SF,22,52,7,807,4.5,11.9,0.375,2.4,7,0.335,2.1,4.9,0.431,2.1,2.6,0.793,0.6,2.6,3.2,2.4,0.5,0.2,1.7,4.3,13.3
Tobias Harris,LAC,Tobias Harris TOT,PF,25,80,80,2668,7.6,16.5,0.46,2.5,6,0.411,5.1,10.5,0.488,2.4,2.9,0.829,0.8,5.1,5.9,2.6,1,0.5,1.4,2.2,20.1
Tomas Satoransky,WAS,Tomas Satoransky WAS,SG,26,73,30,1643,4.4,8.4,0.523,1,2.2,0.465,3.4,6.2,0.544,1.6,2.1,0.781,1.6,3.5,5.1,6.3,1.1,0.3,1.8,2.9,11.5
Tony Allen,NOP,Tony Allen NOP,SF,36,22,0,273,5.8,12,0.484,0.5,1.6,0.333,5.3,10.4,0.506,1.5,2.8,0.524,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6
Tony Bradley,UTA,Tony Bradley UTA,C,20,9,0,29,3.7,13.7,0.273,0,1.2,0,3.7,12.4,0.3,2.5,2.5,1,5,8.7,13.7,1.2,0,0,0,1.2,9.9
Tony Parker,SAS,Tony Parker SAS,PG,35,55,21,1071,6,13,0.459,0.3,1.2,0.27,5.6,11.8,0.479,1.8,2.6,0.705,0.2,3,3.2,6.6,0.9,0,2.3,1.7,14.2
Tony Snell,MIL,Tony Snell MIL,SG,26,75,59,2053,3.2,7.5,0.435,1.9,4.7,0.403,1.4,2.8,0.49,0.7,0.8,0.792,0.2,2.3,2.5,1.7,0.8,0.5,0.6,2,9
Torrey Craig,DEN,Torrey Craig DEN,SF,27,39,5,629,3.5,7.8,0.453,1,3.3,0.293,2.6,4.5,0.57,1.3,2,0.629,2.3,5,7.3,1.4,0.7,0.9,1.1,3.6,9.3
Travis Wear,LAL,Travis Wear LAL,SF,27,17,0,228,3.9,11.4,0.347,2.7,7.4,0.362,1.3,3.9,0.32,1.3,1.3,1,0,6,6,1.1,0.6,0.8,0.9,4.7,11.8
Treveon Graham,CHO,Treveon Graham CHO,SG,24,63,2,1050,3.3,7.6,0.434,1.4,3.3,0.412,1.9,4.3,0.452,1.4,2,0.695,1.4,2.7,4.1,2,1.1,0.1,0.9,3.7,9.4
Trevor Ariza,HOU,Trevor Ariza HOU,SF,32,67,67,2269,4.3,10.3,0.412,2.7,7.3,0.368,1.6,3,0.519,1.2,1.4,0.854,0.5,4.1,4.7,1.7,1.6,0.2,0.8,2.1,12.4
Trevor Booker,IND,Trevor Booker TOT,PF,30,68,7,1158,5.5,10.7,0.516,0.2,1,0.242,5.3,9.6,0.545,2.1,2.9,0.71,3.6,6.2,9.9,2.5,0.9,0.7,1.8,3.7,13.3
Trey Burke,NYK,Trey Burke NYK,PG,25,36,9,785,8.9,17.6,0.503,1.7,4.8,0.362,7.1,12.8,0.556,1.7,2.6,0.649,0.6,2.7,3.3,7.8,1.1,0.2,2,2,21.1
Trey Lyles,DEN,Trey Lyles DEN,PF,22,73,2,1391,7,14.2,0.491,2.1,5.6,0.381,4.8,8.6,0.563,2.6,3.7,0.706,1.4,7.6,9,2.4,0.8,0.9,1.6,2.9,18.7
Trey McKinney-Jones,IND,Trey McKinney-Jones IND,SG,27,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Tristan Thompson,CLE,Tristan Thompson CLE,C,26,53,22,1072,4.4,7.9,0.562,0,0,,4.4,7.9,0.562,1.4,2.7,0.544,4.2,7.6,11.8,1.1,0.5,0.6,1.2,3.4,10.3
Troy Daniels,PHO,Troy Daniels PHO,SG,26,79,15,1622,5.1,12.8,0.403,4.1,10.2,0.4,1.1,2.6,0.419,1.2,1.4,0.875,0.3,2.6,2.8,1.1,0.6,0.1,1.2,3,15.6
Troy Williams,NYK,Troy Williams TOT,SF,23,21,1,307,6,12.8,0.468,1.3,4.5,0.289,4.7,8.3,0.563,2.3,3.5,0.667,2.6,4.8,7.4,1.9,2.3,0.5,2.2,4,15.6
Tyler Cavanaugh,ATL,Tyler Cavanaugh ATL,PF,23,39,1,518,4.7,10.6,0.441,2.2,6.2,0.36,2.4,4.4,0.556,1.2,1.5,0.81,3.1,5.7,8.8,1.9,0.6,0.3,1,4.2,12.7
Tyler Dorsey,ATL,Tyler Dorsey ATL,SG,21,56,5,974,5.3,14.1,0.377,2.7,7.4,0.362,2.7,6.8,0.393,1.7,2.3,0.714,0.6,4.2,4.8,2.9,0.6,0.2,1.4,2.3,15
Tyler Ennis,LAL,Tyler Ennis LAL,PG,23,54,11,683,5,11.8,0.42,0.7,3,0.25,4.2,8.9,0.476,1.2,1.5,0.759,1,4,5,5.5,1.6,0.5,2,4,11.8
Tyler Johnson,MIA,Tyler Johnson MIA,PG,25,72,39,2052,5.4,12.5,0.435,2.1,5.7,0.367,3.3,6.8,0.491,1.9,2.3,0.822,0.6,3.8,4.4,2.9,1.1,0.6,1.4,2.6,14.8
Tyler Lydon,DEN,Tyler Lydon DEN,PF,21,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Tyler Ulis,PHO,Tyler Ulis PHO,PG,22,71,43,1658,4.6,12,0.388,0.9,3.2,0.288,3.7,8.8,0.425,1.8,2.2,0.832,0.5,2.3,2.8,6.8,1.5,0.2,2.8,2.6,12
Tyler Zeller,MIL,Tyler Zeller TOT,C,28,66,34,1109,6.1,10.8,0.56,0.3,0.9,0.357,5.7,9.9,0.578,1.9,2.6,0.722,3.6,6.3,9.9,1.5,0.5,1.1,1.5,4.1,14.3
Tyreke Evans,MEM,Tyreke Evans MEM,PG,28,52,32,1607,8.2,18.1,0.452,2.6,6.4,0.399,5.6,11.7,0.482,3.7,4.7,0.785,1,5,5.9,6,1.3,0.4,2.6,2.2,22.6
Tyrone Wallace,LAC,Tyrone Wallace LAC,PG,23,30,19,851,4.7,10.4,0.445,0.4,1.7,0.25,4.2,8.8,0.483,2.6,3.3,0.782,0.9,3.6,4.4,3,1.1,0.5,1.9,3.5,12.3
Tyson Chandler,PHO,Tyson Chandler PHO,C,35,46,46,1151,3.8,5.8,0.647,0,0,,3.8,5.8,0.647,1.8,2.9,0.624,4.2,8.9,13.1,1.7,0.5,0.8,1.8,3.3,9.4
Tyus Jones,MIN,Tyus Jones MIN,PG,21,82,11,1467,3.7,8,0.457,1.1,3.2,0.349,2.6,4.9,0.528,1.7,2,0.877,0.4,2.8,3.2,5.7,2.3,0.1,1.4,2.7,10.2
Udonis Haslem,MIA,Udonis Haslem MIA,C,37,14,0,72,1.5,7.5,0.2,0.5,4,0.125,1,3.5,0.286,0.5,1,0.5,1.5,3.5,5,2.5,0,1,1,1.5,4
Vander Blue,LAL,Vander Blue LAL,SG,25,5,0,45,0.8,4,0.2,0,1.6,0,0.8,2.4,0.333,0.8,1.6,0.5,0,0.8,0.8,2.4,0.8,0,2.4,1.6,2.4
Victor Oladipo,IND,Victor Oladipo IND,SG,25,75,75,2552,9,18.9,0.477,2.3,6.1,0.371,6.8,12.8,0.528,4.1,5.2,0.799,0.7,4.8,5.5,4.6,2.5,0.8,3.1,2.5,24.5
Vince Carter,SAC,Vince Carter SAC,SF,41,58,5,1026,4,9.9,0.403,2,5.8,0.345,2,4.1,0.483,1,1.3,0.757,0.6,4.6,5.2,2.4,1.5,0.9,1.3,3.4,11
Vince Hunter,MEM,Vince Hunter MEM,PF,23,4,0,7,15.4,25.7,0.6,0,0,,15.4,25.7,0.6,0,0,,10.3,5.1,15.4,0,0,5.1,5.1,0,30.9
Wade Baldwin,POR,Wade Baldwin POR,PG,21,7,0,80,6.3,9.5,0.667,1.8,2.3,0.8,4.5,7.2,0.625,2.7,4.5,0.6,0.5,3.2,3.6,2.3,0.9,0.5,1.8,5.4,17.1
"Walt Lemon, Jr.",NOP,"Walt Lemon, Jr. NOP",PG,25,5,0,35,7.2,16.5,0.438,1,1,1,6.2,15.4,0.4,2.1,3.1,0.667,0,2.1,2.1,5.1,0,1,4.1,5.1,17.5
Wayne Ellington,MIA,Wayne Ellington MIA,SG,30,77,2,2041,5,12.3,0.407,4,10.2,0.392,1,2.1,0.479,1.2,1.4,0.859,0.4,3.4,3.8,1.4,0.9,0.1,0.9,1.7,15.2
Wayne Selden,MEM,Wayne Selden MEM,SG,23,35,9,692,6,14,0.431,2.5,6.3,0.402,3.5,7.6,0.456,2.3,3.1,0.746,0.8,2.1,2.9,3.4,0.9,0.3,2.8,3.1,16.9
Wesley Iwundu,ORL,Wesley Iwundu ORL,SF,23,62,12,1020,3.3,7.7,0.427,0.3,1.6,0.196,3,6.1,0.488,1.2,1.7,0.723,1.3,3.6,4.8,2,1.2,0.4,1.1,2.9,8.1
Wesley Johnson,LAC,Wesley Johnson LAC,SF,30,74,40,1486,3.6,8.9,0.408,1.5,4.3,0.339,2.2,4.6,0.471,1,1.4,0.741,0.7,4.5,5.2,1.5,1.8,1.5,1.3,3.5,9.8
Wesley Matthews,DAL,Wesley Matthews DAL,SF,31,63,62,2131,4.8,11.8,0.406,2.6,6.8,0.381,2.2,5,0.441,1.4,1.7,0.822,0.5,2.9,3.3,2.9,1.3,0.3,1.4,2.4,13.5
Will Barton,DEN,Will Barton DEN,SG,27,81,40,2683,6.2,13.8,0.452,2.1,5.7,0.37,4.1,8.1,0.51,2.4,3,0.805,0.9,4.5,5.5,4.4,1.1,0.7,2,2.3,17
Willie Cauley-Stein,SAC,Willie Cauley-Stein SAC,C,24,73,58,2044,6.8,13.6,0.502,0.1,0.2,0.25,6.8,13.4,0.506,2.7,4.4,0.619,2.3,6.7,9,3,1.4,1.2,1.9,3.3,16.4
Willie Reed,DET,Willie Reed TOT,C,27,42,5,428,6.8,10.2,0.669,0.1,0.2,0.5,6.7,10,0.672,2.7,4.6,0.582,2.9,7.2,10.2,0.8,0.8,1.9,1.6,4.7,16.4
Willy Hernangomez,CHO,Willy Hernangomez TOT,C,23,48,1,495,6.6,11.9,0.555,0.4,0.9,0.417,6.3,11.1,0.566,4.3,6.5,0.656,4.4,8.9,13.3,2.4,1.3,1.2,2.5,4.7,17.9
Wilson Chandler,DEN,Wilson Chandler DEN,SF,30,74,71,2346,4.3,9.7,0.445,1.4,3.8,0.358,3,5.9,0.501,1.4,1.7,0.772,1.6,4.5,6.1,2.4,0.7,0.6,1.4,2.4,11.3
Xavier Munford,MIL,Xavier Munford MIL,SG,25,6,0,21,1.7,10.3,0.167,0,3.4,0,1.7,6.9,0.25,1.7,3.4,0.5,1.7,0,1.7,6.9,1.7,0,3.4,6.9,5.1
Xavier Rathan-Mayes,MEM,Xavier Rathan-Mayes MEM,SG,23,5,0,118,3.7,12.8,0.286,0.3,4.3,0.071,3.4,8.5,0.393,1.2,2.7,0.444,0,1.5,1.5,5.5,1.8,0.9,3.4,5.5,8.8
Xavier Silas,BOS,Xavier Silas BOS,SG,30,2,0,7,0,15.4,0,0,10.3,0,0,5.1,0,0,0,,5.1,5.1,10.3,0,5.1,0,0,5.1,0
Yogi Ferrell,DAL,Yogi Ferrell DAL,SG,24,82,21,2282,4.9,11.5,0.426,2.1,5.7,0.373,2.8,5.9,0.477,1.3,1.6,0.796,0.4,3.5,3.9,3.2,1,0.1,1.2,2.4,13.2
Zach Collins,POR,Zach Collins POR,C,20,66,1,1045,4,10,0.398,1.2,3.9,0.31,2.8,6.1,0.455,0.9,1.4,0.643,1.6,6.1,7.6,1.8,0.6,1.1,2,4.6,10.1
Zach LaVine,CHI,Zach LaVine CHI,SG,22,24,24,656,7.5,19.5,0.383,2.3,6.8,0.341,5.2,12.7,0.405,4.8,5.9,0.813,0.5,4.7,5.2,4,1.3,0.2,2.4,3,22
Zach Randolph,SAC,Zach Randolph SAC,PF,36,59,57,1508,8.6,18.2,0.473,1.2,3.5,0.347,7.4,14.7,0.503,2,2.6,0.785,2.3,7.2,9.5,3,1,0.2,2.8,2.8,20.5
Zaza Pachulia,GSW,Zaza Pachulia GSW,C,33,69,57,972,5.5,9.8,0.564,0,0,0,5.5,9.7,0.567,2.8,3.4,0.806,3.3,8.6,11.9,4,1.4,0.6,2.7,4.5,13.8
Zhou Qi,HOU,Zhou Qi HOU,C,22,18,0,124,1.7,9.3,0.188,0.6,5.5,0.105,1.2,3.8,0.308,2.3,3.5,0.667,1.7,4.6,6.4,0.6,0.6,4.1,2.9,4.1,6.4
