Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MarShon Brooks,MEM,MarShon Brooks MEM,SG,29,7,1,193,9.5,19,0.5,3.5,6,0.594,6,13.1,0.457,3.7,4.3,0.87,1.5,2.4,3.9,4.7,2.1,0.6,3,1.1,26.3
Marvin Williams,CHO,Marvin Williams CHO,PF,31,78,78,2006,4.6,10.1,0.458,2.3,5.5,0.413,2.4,4.6,0.512,1.8,2.2,0.829,1.3,5.3,6.6,1.7,1,0.7,1.2,2.1,13.4
Mason Plumlee,DEN,Mason Plumlee DEN,C,27,74,26,1439,5.5,9.2,0.601,0,0,0,5.5,9.2,0.602,2.1,4.5,0.458,3.3,6.7,10,3.6,1.2,2,2.6,4.6,13.1
Matt Costello,SAS,Matt Costello SAS,C,24,4,0,32,2.3,4.5,0.5,0,0,,2.3,4.5,0.5,0,0,,1.1,9,10.1,2.3,2.3,2.3,1.1,7.9,4.5
Matt Williams,MIA,Matt Williams MIA,SG,24,3,0,11,6.5,19.6,0.333,3.3,16.4,0.2,3.3,3.3,1,0,0,,0,3.3,3.3,0,0,0,3.3,3.3,16.4
Matthew Dellavedova,MIL,Matthew Dellavedova MIL,PG,27,38,3,712,2.8,7.7,0.362,1.5,3.9,0.372,1.3,3.7,0.351,1.3,1.4,0.926,0.7,2.5,3.2,7.3,0.7,0,2.5,3.4,8.3
Maurice Harkless,POR,Maurice Harkless POR,SF,24,59,36,1264,4.2,8.5,0.495,1.4,3.4,0.415,2.8,5.1,0.547,1.2,1.7,0.712,1.3,3.3,4.6,1.5,1.4,1.2,1.1,2.9,11
Maxi Kleber,DAL,Maxi Kleber DAL,PF,26,72,36,1206,4.5,9.2,0.489,1.2,3.8,0.313,3.3,5.4,0.613,1.3,1.8,0.746,2.1,4.9,7,1.5,0.8,1.4,0.9,3.4,11.5
Meyers Leonard,POR,Meyers Leonard POR,C,25,33,2,254,6.5,11.1,0.59,1.6,3.7,0.423,5,7.4,0.673,1.3,1.6,0.818,1.7,8.2,9.9,2.4,1,0,1.4,5.1,15.9
Michael Beasley,NYK,Michael Beasley NYK,PF,29,74,30,1653,8.9,17.6,0.507,0.7,1.9,0.395,8.2,15.7,0.52,2.7,3.5,0.78,2.1,6.9,9,2.7,0.8,0.9,3.1,3.2,21.3
