Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan Bell,GSW,Jordan Bell GSW,C,23,57,13,14.2,2,3.2,0.627,0,0.1,0,2,3.2,0.641,0.627,0.5,0.8,0.682,1.1,2.6,3.6,1.8,0.6,1,0.9,1.6,4.6
DeAndre' Bembry,ATL,DeAndre' Bembry ATL,SF,23,26,3,17.5,2,4.9,0.414,0.4,1.2,0.367,1.6,3.8,0.429,0.457,0.7,1.3,0.576,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2
Dragan Bender,PHO,Dragan Bender PHO,PF,20,82,37,25.2,2.3,5.9,0.386,1.4,3.9,0.366,0.8,2,0.426,0.508,0.5,0.6,0.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2,6.5
D?vis Bert?ns,SAS,D?vis Bert?ns SAS,PF,25,77,10,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2,1,0.3,0.4,0.5,1.2,5.9
Patrick Beverley,LAC,Patrick Beverley LAC,SG,29,11,11,30.4,4.4,10.8,0.403,2.2,5.5,0.4,2.2,5.4,0.407,0.504,1.3,1.5,0.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2
Khem Birch,ORL,Khem Birch ORL,C,25,42,0,13.8,1.6,3,0.54,0,0,,1.6,3,0.54,0.54,1,1.5,0.689,1.7,2.6,4.3,0.8,0.4,0.5,0.5,1.3,4.2
Rashad Vaughn,BRK,Rashad Vaughn BRK,SG,21,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,1,0
Bismack Biyombo,ORL,Bismack Biyombo ORL,C,25,82,25,18.2,2.2,4.3,0.52,0,0,0,2.2,4.3,0.521,0.52,1.2,1.9,0.65,1.8,4,5.7,0.8,0.3,1.2,1,1.9,5.7
Nemanja Bjelica,MIN,Nemanja Bjelica MIN,PF,29,67,21,20.5,2.6,5.5,0.461,1.1,2.7,0.415,1.4,2.8,0.505,0.563,0.5,0.7,0.8,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,6.8
Tarik Black,HOU,Tarik Black HOU,C,26,51,2,10.5,1.5,2.5,0.591,0,0.2,0.091,1.5,2.3,0.638,0.594,0.6,1.2,0.46,1.2,2,3.2,0.3,0.4,0.6,0.7,2.1,3.5
Brandan Wright,HOU,Brandan Wright HOU,PF,30,1,0,15,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,1,2,0,0,1,0,3,4
Eric Bledsoe,TOT,Eric Bledsoe TOT,PG,28,74,74,31.4,6.3,13.4,0.473,1.7,4.9,0.347,4.6,8.5,0.545,0.536,3.4,4.3,0.795,0.7,3.1,3.8,5,2,0.6,2.9,2.5,17.7
Bruno Caboclo,TOR,Bruno Caboclo TOR,SF,22,2,0,3.5,0,1,0,0,1,0,0,0,,0,0,0,,0,0.5,0.5,0.5,0.5,0,0,0.5,0
Eric Bledsoe,MIL,Eric Bledsoe MIL,PG,28,71,71,31.5,6.4,13.4,0.476,1.7,4.9,0.349,4.7,8.5,0.55,0.54,3.4,4.3,0.795,0.7,3.2,3.9,5.1,2,0.6,2.9,2.5,17.8
Vander Blue,LAL,Vander Blue LAL,SG,25,5,0,9,0.2,1,0.2,0,0.4,0,0.2,0.6,0.333,0.2,0.2,0.4,0.5,0,0.2,0.2,0.6,0.2,0,0.6,0.4,0.6
Bogdan Bogdanovi?,SAC,Bogdan Bogdanovi? SAC,SG,25,78,53,27.9,4.4,9.9,0.446,1.7,4.2,0.392,2.8,5.7,0.485,0.529,1.3,1.5,0.84,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8
Bojan Bogdanovi?,IND,Bojan Bogdanovi? IND,SF,28,80,80,30.8,5.1,10.7,0.474,1.9,4.8,0.402,3.1,5.8,0.534,0.565,2.2,2.6,0.868,0.4,3,3.4,1.5,0.7,0.1,1.3,1.6,14.3
Andrew Bogut,LAL,Andrew Bogut LAL,C,33,24,5,9,0.7,1,0.68,0,0,,0.7,1,0.68,0.68,0.1,0.1,1,1.1,2.2,3.3,0.6,0.2,0.5,0.8,1.7,1.5
Joel Bolomboy,MIL,Joel Bolomboy MIL,PF,24,6,0,6.3,0.5,1,0.5,0,0.2,0,0.5,0.8,0.6,0.5,0.5,1,0.5,1,0.7,1.7,0,0.3,0,0.3,0.5,1.5
