Player,Team,Player & Team,season17_18
Festus Ezeli,POR,Festus Ezeli POR,333334
C.J. Watson,ORL,C.J. Watson ORL,333334
Gal Mekel,DAL,Gal Mekel DAL,315760
Miroslav Raduljica,LAC,Miroslav Raduljica LAC,300000
Cameron Oliver,HOU,Cameron Oliver HOU,300000
Ramon Sessions,WAS,Ramon Sessions WAS,263124
Jordan Crawford,NOP,Jordan Crawford NOP,250000
Emeka Okafor,NOP,Emeka Okafor NOP,239204
Wade Baldwin,POR,Wade Baldwin POR,222476
Isaiah Canaan,CHI,Isaiah Canaan CHI,200000
Rakeem Christmas,IND,Rakeem Christmas IND,172552
DeAndre Liggins,NOP,DeAndre Liggins NOP,172238
Sean Kilpatrick,LAC,Sean Kilpatrick LAC,172238
Rashad Vaughn,ORL,Rashad Vaughn ORL,166258
Troy Williams,NYK,Troy Williams NYK,148318
Travis Wear,LAL,Travis Wear LAL,148318
Carrick Felix,WAS,Carrick Felix WAS,140902
Brandon Rush,POR,Brandon Rush POR,119602
Brandon Jennings,MIL,Brandon Jennings MIL,119010
Derrick Williams,LAL,Derrick Williams LAL,104059
K.J. McDaniels,TOR,K.J. McDaniels TOR,100000
Marshall Plumlee,NYK,Marshall Plumlee NYK,100000
Georges Niang,IND,Georges Niang IND,100000
Quinn Cook,ATL,Quinn Cook ATL,100000
Demetrius Jackson,BOS,Demetrius Jackson BOS,92858
Kyle Collinsworth,DAL,Kyle Collinsworth DAL,92160
Josh Gray,PHO,Josh Gray PHO,92160
Naz Mitrou-Long,UTA,Naz Mitrou-Long UTA,92160
Shaquille Harrison,PHO,Shaquille Harrison PHO,92160
"Walt Lemon, Jr.",NOP,"Walt Lemon, Jr. NOP",92160
Antonius Cleveland,ATL,Antonius Cleveland ATL,92160
Jaylen Morris,ATL,Jaylen Morris ATL,92160
Mike James,PHO,Mike James PHO,87552
Jarell Eddie,BOS,Jarell Eddie BOS,83129
Jarell Eddie,CHI,Jarell Eddie CHI,83129
Briante Weber,MEM,Briante Weber MEM,83129
Demetrius Jackson,HOU,Demetrius Jackson HOU,74159
Georgios Papagiannis,POR,Georgios Papagiannis POR,74159
Larry Drew,NOP,Larry Drew NOP,74159
Scotty Hopson,DAL,Scotty Hopson DAL,74159
Isaiah Canaan,HOU,Isaiah Canaan HOU,53465
Tyler Cavanaugh,ATL,Tyler Cavanaugh ATL,50000
Kyle Collinsworth,DAL,Kyle Collinsworth DAL,50000
Demetrius Jackson,HOU,Demetrius Jackson HOU,50000
Daniel Ochefu,WAS,Daniel Ochefu WAS,50000
Michael Young,WAS,Michael Young WAS,50000
Nate Wolters,UTA,Nate Wolters UTA,50000
Naz Mitrou-Long,UTA,Naz Mitrou-Long UTA,50000
Eric Griffin,UTA,Eric Griffin UTA,50000
Jacob Pullen,PHI,Jacob Pullen PHI,50000
James Michael McAdoo,PHI,James Michael McAdoo PHI,50000
Nigel Hayes,NYK,Nigel Hayes NYK,50000
Jalen Moore,MIL,Jalen Moore MIL,50000
Gary Payton,MIL,Gary Payton MIL,50000
Matt Williams,MIA,Matt Williams MIA,50000
Vince Hunter,MEM,Vince Hunter MEM,50000
Vander Blue,LAL,Vander Blue LAL,50000
V.J. Beachem,LAL,V.J. Beachem LAL,50000
Briante Weber,LAL,Briante Weber LAL,50000
Jamil Wilson,LAC,Jamil Wilson LAC,50000
Briante Weber,HOU,Briante Weber HOU,50000
Luis Montero,DET,Luis Montero DET,50000
Gian Clavell,DAL,Gian Clavell DAL,50000
Antonius Cleveland,DAL,Antonius Cleveland DAL,50000
Diamond Stone,CHI,Diamond Stone CHI,50000
Yakuba Ouattara,BRK,Yakuba Ouattara BRK,50000
Jeremy Evans,ATL,Jeremy Evans ATL,50000
Nigel Hayes,LAL,Nigel Hayes LAL,46080
Nigel Hayes,TOR,Nigel Hayes TOR,46080
Rodney Purvis,ORL,Rodney Purvis ORL,46080
Xavier Rathan-Mayes,MEM,Xavier Rathan-Mayes MEM,46080
Trey McKinney-Jones,IND,Trey McKinney-Jones IND,46080
Jameel Warney,DAL,Jameel Warney DAL,46080
Marcus Thornton,CLE,Marcus Thornton CLE,46080
DeAndre Liggins,ATL,DeAndre Liggins ATL,26773
Axel Toupane,NOP,Axel Toupane NOP,25000
Quinn Cook,NOP,Quinn Cook NOP,25000
Chris Johnson,HOU,Chris Johnson HOU,25000
Beno Udrih,DET,Beno Udrih DET,25000
Joel Bolomboy,MIL,Joel Bolomboy MIL,22248
Jarell Eddie,CHI,Jarell Eddie CHI,17224
