Player,Team,Player & Team,season17_18
Patty Mills,SAS,Patty Mills SAS,10714286
Kelly Olynyk,MIA,Kelly Olynyk MIA,10607169
Omer Asik,CHI,Omer Asik CHI,10595505
Terrence Ross,ORL,Terrence Ross ORL,10500000
Mirza Teletovic,MIL,Mirza Teletovic MIL,10500000
Bojan Bogdanovic,IND,Bojan Bogdanovic IND,10500000
Jon Leuer,DET,Jon Leuer DET,10497319
Iman Shumpert,SAC,Iman Shumpert SAC,10337079
Maurice Harkless,POR,Maurice Harkless POR,10162922
Jared Dudley,PHO,Jared Dudley PHO,10000000
Darren Collison,IND,Darren Collison IND,10000000
Danny Green,SAS,Danny Green SAS,10000000
Meyers Leonard,POR,Meyers Leonard POR,9904495
Tony Snell,MIL,Tony Snell MIL,9821429
Al Jefferson,IND,Al Jefferson IND,9769821
Matthew Dellavedova,MIL,Matthew Dellavedova MIL,9607500
Joe Johnson,SAC,Joe Johnson SAC,9505000
Bogdan Bogdanovic,SAC,Bogdan Bogdanovic SAC,9470614
Andre Roberson,OKC,Andre Roberson OKC,9259259
Trevor Booker,PHI,Trevor Booker PHI,9125000
Dwight Powell,DAL,Dwight Powell DAL,9003125
Jerryd Bayless,PHI,Jerryd Bayless PHI,9000000
Avery Bradley,LAC,Avery Bradley LAC,8808989
JaMychal Green,MEM,JaMychal Green MEM,8533333
E'Twaun Moore,NOP,E'Twaun Moore NOP,8445024
Rudy Gay,SAS,Rudy Gay SAS,8406000
Kosta Koufos,SAC,Kosta Koufos SAC,8393000
Markieff Morris,WAS,Markieff Morris WAS,8000000
Garrett Temple,SAC,Garrett Temple SAC,8000000
Vince Carter,SAC,Vince Carter SAC,8000000
C.J. Miles,TOR,C.J. Miles TOR,7936509
Cristiano Felicio,CHI,Cristiano Felicio CHI,7843500
Shaun Livingston,GSW,Shaun Livingston GSW,7692308
Cory Joseph,IND,Cory Joseph IND,7630000
P.J. Tucker,HOU,P.J. Tucker HOU,7590035
Corey Brewer,LAL,Corey Brewer LAL,7579366
Andrew Wiggins,MIN,Andrew Wiggins MIN,7574322
Darrell Arthur,DEN,Darrell Arthur DEN,7464912
Channing Frye,LAL,Channing Frye LAL,7420912
Trevor Ariza,HOU,Trevor Ariza HOU,7420912
Al-Farouq Aminu,POR,Al-Farouq Aminu POR,7319035
Cole Aldrich,MIN,Cole Aldrich MIN,7300000
D.J. Augustin,ORL,D.J. Augustin ORL,7250000
Markelle Fultz,PHI,Markelle Fultz PHI,7026240
Lou Williams,LAC,Lou Williams LAC,7000000
Kyle Korver,CLE,Kyle Korver CLE,7000000
Jeremy Lamb,CHO,Jeremy Lamb CHO,7000000
Boban Marjanovic,LAC,Boban Marjanovic LAC,7000000
Jae Crowder,UTA,Jae Crowder UTA,6796117
Jabari Parker,MIL,Jabari Parker MIL,6782392
Langston Galloway,DET,Langston Galloway DET,6666667
Lance Thomas,NYK,Lance Thomas NYK,6655325
Ed Davis,POR,Ed Davis POR,6352531
Marco Belinelli,ATL,Marco Belinelli ATL,6306060
Jonathon Simmons,ORL,Jonathon Simmons ORL,6300000
Lonzo Ball,LAL,Lonzo Ball LAL,6286560
Wayne Ellington,MIA,Wayne Ellington MIA,6270000
Isaiah Thomas,LAL,Isaiah Thomas LAL,6261395
Karl-Anthony Towns,MIN,Karl-Anthony Towns MIN,6216840
Ben Simmons,PHI,Ben Simmons PHI,6168840
Joel Embiid,PHI,Joel Embiid PHI,6100266
Spencer Hawes,MIL,Spencer Hawes MIL,6021175
Josh McRoberts,DAL,Josh McRoberts DAL,6021175
